movieId	imdbId	tmdbId	Title	Year	Director	Actors	Genre	Language	Country	Plot
49	0114916	8391	When Night Is Falling	1995	Patricia Rozema	Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox	Drama, Romance	English	Canada	An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.
50	0114814	629	The Usual Suspects	1995	Bryan Singer	Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak	Crime, Drama, Mystery	English, Hungarian, Spanish, French	USA, Germany	A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.
52	0113819	11448	Mighty Aphrodite	1995	Woody Allen	Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena	Comedy, Fantasy, Romance	English	USA	When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.
53	0110299	49133	Lamerica	1994	Gianni Amelio	Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli	Drama	Albanian, Italian	Italy, France, Switzerland, Austria	Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...
54	0112499	26441	The Big Green	1995	Holly Goldberg Sloan	Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry	Comedy, Family, Sport	English	USA	Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of ...
55	0113158	97406	Georgia	1995	Ulu Grosbard	Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich	Drama, Music	English, Hebrew	USA, France	Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...
57	0113321	9089	Home for the Holidays	1995	Jodie Foster	Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning	Comedy, Drama, Romance	English	USA	After losing her job, making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.
58	0110877	11010	Il Postino: The Postman	1994	Michael Radford	Philippe Noiret, Massimo Troisi, Maria Grazia Cucinotta, Renato Scarpa	Biography, Comedy, Drama	Italian, Spanish	Italy, France, Belgium	Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
59	0112714	99040	The Confessional	1995	Robert Lepage	Lothaire Bluteau, Patrick Goyette, Jean-Louis Millette, Kristin Scott Thomas	Drama, Mystery, Thriller	French, English	Canada, UK, France	The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ...
60	0113419	11359	The Indian in the Cupboard	1995	Frank Oz	Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins	Drama, Family, Fantasy	English	USA	On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ...
61	0116260	17182	Eye for an Eye	1996	John Schlesinger	Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle	Crime, Drama, Thriller	English, French, Spanish, Korean	USA	When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.
62	0113862	2054	Mr. Holland's Opus	1995	Stephen Herek	Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis	Drama, Music	English, American Sign Language	USA	A frustrated composer finds fulfillment as a high school music teacher.
63	0116126	10607	Don't Be a Menace to South Central While Drinking Your Juice in the Hood	1996	Paris Barclay	Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer	Comedy, Crime	English, Spanish	USA	"Don't Be a Menace to South Central While Drinking your Juice in the Hood" is a parody of several U.S. films about being in the 'Hood', for instance "Boyz n the Hood", "South Central", "...
64	0118002	19760	Two If by Sea	1996	Bill Bennett	Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto	Comedy, Crime, Romance	English	USA	Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ...
65	0115683	9536	Bio-Dome	1996	Jason Bloom	William Atherton, Denise Dowse, Dara Tomanovich, Kevin West	Comedy	English	USA	Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.
66	0116839	11525	Lawnmower Man 2: Beyond Cyberspace	1996	Farhad Mann	Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget	Action, Sci-Fi, Thriller	English	USA	Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...
68	0113149	4482	French Twist	1995	Josiane Balasko	Victoria Abril, Josiane Balasko, Alain Chabat, Ticky Holgado	Comedy	French, Spanish	France	After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.
69	0113118	10634	Friday	1995	F. Gary Gray	Ice Cube, Chris Tucker, Nia Long, Tommy 'Tiny' Lister	Comedy, Drama	English	USA	Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by 10pm that same night. In that time, they smoke more weed and get jacked and shot at in a drive-by.
70	0116367	755	From Dusk Till Dawn	1996	Robert Rodriguez	George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis	Action, Crime, Fantasy	English, Spanish	USA	Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results.
71	0113010	11859	Fair Game	1995	Andrew Sipes	William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald	Action, Crime, Romance	English, Russian	USA	Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.
72	0113537	28387	Kicking and Screaming	1995	Noah Baumbach	Josh Hamilton, Samuel Gould, Catherine Kellner, Jonathan Baumbach	Comedy, Drama, Romance	English	USA	After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all...
73	0113828	48750	Les Misérables	1995	Claude Lelouch	Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines, Salomé Lelouch	Drama, History	French, German, English	France	Henri Fortin is poor and iliterate former boxer. Ziman is rich Jewish lawyer from Paris. During WWII they meet when Fortin agrees to drive Ziman's family to Switzerland. Intrigued by Victor...
74	0115644	20927	Bed of Roses	1996	Michael Goldenberg	Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin	Romance, Drama	English	USA	Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.
76	0114367	9102	Screamers	1995	Christian Duguay	Peter Weller, Roy Dupuis, Jennifer Rubin, Andrew Lauer	Sci-Fi, Thriller	English	Canada, USA, Japan	(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as...
77	0113973	124626	Nico Icon	1995	Susanne Ofteringer	Nico, Tina Aumont, Christian Päffgen, Edith Boulogne	Documentary, Biography, Music	English, German	Germany, USA	A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,...
78	0112744	27526	The Crossing Guard	1995	Sean Penn	Jack Nicholson, David Morse, Anjelica Huston, Robin Wright	Drama	English	USA	Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl.
79	0116731	9623	The Juror	1996	Brian Gibson	Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, Anne Heche	Drama, Thriller	English	USA	When Annie Laird is selected as a juror in a big Mafia trial, she is forced by someone known as "The Teacher" to persuade the other jurors to vote "not guilty". He threatens to kill her son...
80	0112445	46785	The White Balloon	1995	Jafar Panahi	Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadre Orafaiy, Anna Borkowska	Drama, Family	Persian	Iran	Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.
81	0114660	400	Things to Do in Denver When You're Dead	1995	Gary Fleder	Andy Garcia, Christopher Lloyd, William Forsythe, Bill Nunn	Crime, Drama	English	USA	Five different criminals face imminent death after botching a job quite badly.
82	0112379	880	Antonia's Line	1995	Marleen Gorris	Willeke van Ammelrooy, Els Dottermans, Dora van der Groen, Veerle van Overloop	Comedy, Drama	Dutch	Netherlands, Belgium, UK, France	A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.
83	0114039	146599	Once Upon a Time... When We Were Colored	1995	Tim Reid	Al Freeman Jr., Phylicia Rashad, Leon, Paula Kelly	Drama, Romance	English	USA	A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.
84	0113612	188588	Last Summer in the Hamptons	1995	Henry Jaglom	Victoria Foyt, Viveca Lindfors, Jon Robin Baitz, Savannah Smith Boucher	Comedy, Drama	English	USA	Filmed entirely on location in East Hampton, Long Island, "Last Summer in the Hamptons" concerns a large theatrical family spending the last weekend of their summer together at the ...
85	0112365	8447	Angels and Insects	1995	Philip Haas	Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp	Drama, Romance	English	UK, USA	In the 1800s a naturalist marries into a family of British country gentry.
86	0118158	10534	White Squall	1996	Ridley Scott	Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf	Adventure, Drama	English, Danish, Spanish	USA, UK	Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
87	0116151	17414	Dunston Checks In	1996	Ken Kwapis	Jason Alexander, Faye Dunaway, Eric Lloyd, Rupert Everett	Comedy, Adventure, Family	English, French	USA	A young boy befriends a larcenous orangutan in a luxury hotel.
88	0115697	13997	Black Sheep	1996	Penelope Spheeris	Chris Farley, David Spade, Tim Matheson, Christine Ebersole	Comedy	English	USA	A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.
89	0113972	2086	Nick of Time	1995	John Badham	Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken	Action, Crime, Drama	English	USA	An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.
92	0117002	9095	Mary Reilly	1996	Stephen Frears	Julia Roberts, John Malkovich, George Cole, Michael Gambon	Drama, Horror, Romance	English	USA, UK	A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.
93	0114825	12158	Vampire in Brooklyn	1995	Wes Craven	Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison	Comedy, Fantasy, Horror	English	USA	Maximillian is the only survivor from a race of vampires on a Caribbean Island, and as a vampire, he must find a mate to keep the line from ending. He knows that a child had been born to a ...
94	0115639	9283	Beautiful Girls	1996	Ted Demme	Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly	Comedy, Drama, Romance	English	USA	A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.
95	0115759	9208	Broken Arrow	1996	John Woo	John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo	Action, Crime, Thriller	English	USA	Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
96	0113403	40154	A Midwinter's Tale	1995	Kenneth Branagh	Richard Briers, Hetta Charnley, Joan Collins, Nicholas Farrell	Comedy	English	UK	Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent ...
97	0113247	406	La Haine	1995	Mathieu Kassovitz	Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili	Crime, Drama	French	France	24 hours in the lives of three young men in the French suburbs the day after a violent riot.
98	0111173	45549	Shopping	1994	Paul W.S. Anderson	Sadie Frost, Jude Law, Sean Pertwee, Fraser James	Action, Crime, Drama	English	UK, Japan	You've run out of options, no school, no job. Steal a car, smash a shop with a heavy car and reap the proceeds!. This movie is about underground England. The causes, the benefits, and the result of a life of 'crash and carry'.
99	0113283	63076	Heidi Fleiss: Hollywood Madam	1995	Nick Broomfield	Nick Broomfield, Madam Alex, Corinne Bohrer, Mike Brambles	Documentary, Biography	English	UK, Germany, USA, Canada	A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the ...
100	0115907	11062	City Hall	1996	Harold Becker	Al Pacino, John Cusack, Bridget Fonda, Danny Aiello	Drama, Thriller	English	USA	The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.
101	0115734	13685	Bottle Rocket	1996	Wes Anderson	Luke Wilson, Owen Wilson, Ned Dowd, Shea Fowler	Comedy, Crime, Drama	English, Spanish	USA	Three friends plan to pull off a simple robbery and go on the run.
102	0117102	47475	Mr. Wrong	1996	Nick Castle	Ellen DeGeneres, Bill Pullman, Joan Cusack, Dean Stockwell	Comedy	English	USA	A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature.
103	0118040	2045	Unforgettable	1996	John Dahl	Ray Liotta, Linda Fiorentino, Peter Coyote, Christopher McDonald	Drama, Mystery, Sci-Fi	English, Spanish	USA	Unsuccessfully framed for his wife's murder, Dr. David Krane attempts to find the real culprit by utilizing a new drug that allows him to experience the memories of other people first-hand....
104	0116483	9614	Happy Gilmore	1996	Dennis Dugan	Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay	Comedy, Sport	English	USA	A rejected hockey player puts his skills to the golf course to save his grandmother's house.
105	0112579	688	The Bridges of Madison County	1995	Clint Eastwood	Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak	Drama, Romance	English	USA	Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson, for four days in the 1960s.
107	0117110	10874	Muppet Treasure Island	1996	Brian Henson	Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop	Action, Adventure, Comedy	English	USA	The Muppets' twist on the classic tale.
108	0112646	89333	Catwalk	1995	Robert Leacock	Christy Turlington, Azzedine Alaïa, Giorgio Armani, Nadja Auermann	Documentary	English	USA	A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York one year in the early 1990s, probably 1992. She and others dash from one designer's ...
110	0112573	197	Braveheart	1995	Mel Gibson	James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo	Biography, Drama, History	English, French, Latin, Scottish Gaelic	USA	When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.
111	0075314	103	Taxi Driver	1976	Martin Scorsese	Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito	Crime, Drama	English, Spanish	USA	A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.
112	0113326	33542	Rumble in the Bronx	1995	Stanley Tong	Jackie Chan, Anita Mui, Françoise Yip, Bill Tung	Action, Comedy	Cantonese, English	Hong Kong	A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.
113	0115645	43566	Before and After	1996	Barbet Schroeder	Meryl Streep, Liam Neeson, Edward Furlong, Julia Weldon	Crime, Drama, Mystery	English	USA	Two parents deal with the effects when their son is accused of murdering his girlfriend.
