'Weird Al' Yankovic
2008
2009
2012
2013
50 Cent
Andrew Hampton
Andrew Havill
Andrew Howard
Andrew Keegan
Andrew Kevin Walker
Andrew Knott
Andrew Lauer
Andrew Lowery
Andrew McCarthy
Andrew Miller
Andrew Parks
Andrew Prine
Andrew Robertson
Andrew Robinson
Andrew Scott
Andrew Seear
Andrew Sensenig
Andrew Shim
Andrew Sparacino
Andrew Wyatt
Andrey Khalimon
Andrzej Bartkowiak
Andrzej Blumenfeld
André Benjamin
André Berley
André Christian
André Dussollier
André Morell
André Ramiro
André S. Labarthe
André Vippolis
André Wilms
Andréa Ferréol
Andréas Voutsinas
Andy Arness
Andy Bichlbaum
Andy Cohn
Andy Devine
Andy Dick
Andy Garcia
Andy Goldsworthy
Andy Griffith
Andy Jones
Andy Lau
Andy Merrill
Andy Nyman
Andy Parkin
Andy Romano
Andy Samberg
Andy Serkis
Aneta Corsaut
Anette Støvelbæk
Angel David
Angel Tompkins
Angela Arenivar
Angela Baddeley
Angela Bassett
Angela Bettis
Angela Goethals
Angela Lansbury
Angela O'Neill
Angela Pietropinto
Angela Wesselman-Pierce
Angela Winkler
Angelica Lee
Angelica Mandy
Angeliki Papoulia
Angelina Jolie
Angeline Ball
Angie Dickinson
Angie Everhart
Angie Harmon
Angus MacLane
Angus Macfadyen
Angus Scrimm
Angélica Aragón
Angélica Sancio
Ania Pieroni
Anika Noni Rose
Anil Kapoor
Anita Briem
Anita Ekberg
Anita Laurenzi
Anita Lindblom
Anita Louise
Anita Mui
Anita Page
Anita Pallenberg
Anjelica Huston
Anki Lidén
Ankie Spitzer
Ankita Shorey
Ann Altieri
Ann Beeson
Ann Carter
Ann Dvorak
Ann Eleonora Jørgensen
Ann Finnell
Ann Harada
Ann Magnuson
Ann Miller
Ann Prentiss
Ann Reinking
Ann Richards
Ann Robinson
Ann Savage
Ann Sheridan
Ann Sothern
Ann Todd
Ann Wedgeworth
Ann-Margret
Ann-Marie MacDonald
Ann-Sofie Kylin
Anna Bederke
Anna Bolt
Anna Bonaiuto
Anna Borkowska
Anna Chancellor
Anna Chennault
Anna Chlumsky
Anna Falchi
Anna Faris
Anna Felix
Anna Friel
Anna Galiena
Anna Geislerová
Anna Hutchison
Anna Karina
Anna Keaveney
Anna Kendrick
Anna Lee
Anna Loos
Anna Magnani
Anna Maria Monticelli
Anna Massey
Anna Maxwell Martin
Anna Nagata
Anna Nakagawa
Anna Paquin
Anna Popplewell
Anna Rust
Anna Simpson
Anna Sisková
Anna Tsuchiya
Anna Wing
AnnaLynne McCord
AnnaSophia Robb
Annabel Chong
Annabella Piugattuk
Annabella Sciorra
Annabelle Gurwitch
Annabeth Gish
Annalee Jefferies
Anne Alvaro
Anne Archer
Anne Bancroft
Anne Bartoletti
Anne Baxter
Anne Bobby
Anne Brochet
Anne Chevalier
Anne Christianson
Anne Consigny
Anne Cornwall
Anne Dudek
Anne Francis
Anne Gaybis
Anne Giotta
Anne Hathaway
Anne Heche
Anne Joyce
Anne Kronenberg
Anne Le Ny
Anne Louise Hassing
Anne Meara
Anne Parillaud
Anne Pitoniak
Anne Ramsey
Anne Reid
Anne Revere
Anne Shirley
Anne Suzuki
Anne Tenney
Anne Vernon
Anne Wiazemsky
Anne Yernaux
Anne-Louise Lambert
Anne-Marie Duff
Anne-Marie Martin
Annemarie Düringer
Annette Bening
Annette Funicello
Annette Hanshaw
Annette O'Toole
Annie Allix
Annie Corley
Annie Girardot
Annie Golden
Annie McEnroe
Annie Parisse
Annie Potts
Annie Rose Buckley
Annie Ross
Annie Shizuka Inoh
Annie Wu
Annika Hallin
Annika Wedderkopp
Annmarie Fulton
Anny Duperey
Anny Ondra
Anonymous
Anouk Aimée
Ansel Elgort
Anson Mount
Anthony 'Scooter' Teague
Anthony Anderson
Anthony Andrews
Anthony Barrile
Anthony Bate
Anthony Brunelli
Anthony Chau-Sang Wong
Anthony Clark
Anthony DeSando
Anthony Edwards
Anthony Franciosa
Anthony Head
Anthony Heald
Anthony Higgins
Anthony Hopkins
Anthony La Penna
Anthony LaPaglia
Anthony Mackie
Anthony Michael Hall
Anthony Newley
Anthony Nicholls
Anthony Nichols
Anthony Perkins
Anthony Piccininni
Anthony Quayle
Anthony Quinn
Anthony Ramirez
Anthony Rapp
Anthony Ross
Anthony Ruivivar
Anthony Simcoe
Anthony Snitzer
Anthony Starke
Anthony Steel
Anthony Zerbe
Antje Traue
Antoine Bertrand
Antoine Saint-John
Antoine Vitez
Anton Diffring
Anton Glanzelius
Anton Lesser
Anton Newcombe
Anton Rodgers
Anton Walbrook
Anton Yelchin
Antonella Antinori
Antonella Attili
Antonella Costa
Antonia Campbell-Hughes
Antonia Clarke
Antonia San Juan
Antonio Banderas
Antonio Catania
Antonio Cupo
Antonio Dechent
Antonio Fargas
Antonio Frasca
Antonio Gades
Antonio Gil
Antonio Mendoza
Antonio Moreno
Antonio Tarver
Antonio de la Torre
Antony Acker
Antony Langdon
Antony Sher
Antron McCray
Antti Satama
Antti Tarvainen
António Assunção
Antônio Fagundes
Anupam Kher
Anwar Congo
Anzac Wallace
Aoi Miyazaki
Aoi Nakajima
Aoi Tada
Apollonia Kotero
Arash Marandi
Arata Iura
Archie Lal
Archie Panjabi
Arfan Usman
Ari Cohen
Ari Folman
Ari Graynor
Aria Alpert Adjani
Ariana Gorini
Ariel Schulman
Ariel Winter
Arielle Dombasle
Arielle Kebbel
Arifin Putra
Arija Bareikis
Arlene Dahl
Arlene Francis
Arletty
Arlin Miller
Arliss Howard
Arlo Guthrie
Armand Assante
Armand Laroche
Armand Mastroianni
Armand Schultz
Armando Brancia
Armando De Razza
Armie Hammer
Armin Mueller-Stahl
Arno Frisch
Arno Juerging
Arnold Friedman
Arnold Lucy
Arnold Schwarzenegger
Arnold Stang
Arnold Vosloo
Arnoldo Foà
Arsenio Hall
Arsher Ali
Arsinée Khanjian
Art Carney
Art Ellison
Art Evans
Art Garfunkel
Art Hindle
Art LaFleur
Art Parkinson
Art Vasil
Arthur Agee
Arthur Byron
Arthur Chesney
Arthur Edmund Carewe
Arthur Fogel
Arthur Hill
Arthur Kennedy
Arthur Laurents
Arthur Lowe
Arthur Malet
Arthur O'Connell
Arthur Treacher
Arthur the Cat
Artie Lange
Artur Barcis
Arturo de Córdova
Artyom Bogucharskiy
Aryana Engineer
Arye Gross
Asa Butterfield
Asaka Seto
Asami Mizukawa
Aseem Chhabra
Ashanti
Ashlee Thompson
Ashley Arbaugh
Ashley Benson
Ashley Boettcher
Ashley C. Williams
Ashley Eckstein
Ashley Jensen
Ashley Judd
Ashley Laurence
Ashley Olsen
Ashley Scott
Ashley Tisdale
Ashlyn Sanchez
Ashlynn Yennie
Ashraf Barhom
Ashton Kutcher
Asia Argento
Asia Vieira
Assi Cohen
Assumpta Serna
Astrid Bergès-Frisbey
Atom Egoyan
Atossa Leoni
Atsuko Tanaka
Aubrey Plaza
Aud Egede-Nissen
Audie England
Audie Murphy
Audra Lindley
Audra McDonald
Audrey Christie
Audrey Fleurot
Audrey Hepburn
Audrey Meadows
Audrey Tautou
Audrey Totter
Augie Davis
August Diehl
August Schellenberg
August Zirner
Augusta Ciolli
Augustus Prew
Aung San Suu Kyi
Aunjanue Ellis
Aurelien Parent Koenig
Aurora Miranda
Aurélien Recoing
Aurélien Wiik
Austin Bickel
Austin Butler
Austin Lysy
Austin Nagler
Austin Nichols
Austin O'Brien
Austin Pendleton
Austin Stoker
Austin Stout
Ava DuVernay
Ava Gardner
Avery Brooks
Avijit Halder
Awa Sene Sarr
Axel Jodorowsky
Axel Thouvenin
Axelle Carolyn
Aya Hirano
Aya Kokumai
Aya Okamoto
Aya Steinovitz
Ayaka Onoue
Ayako Fujitani
Ayami Kakiuchi
Ayano Shiraishi
Ayda Sadeqi
Ayelet Kaznelson
Ayelet Zurer
Aymen Hamdouchi
Ayrton Senna
Ayu Kitaura
Ayub Khan-Din
Ayumi Itô
Ayush Tandon
Aziz Ansari
Azucena Medina
B.B. King
B.J. Rolfzen
B.Z. Goldberg
BD Wong
Babe Ruth
Babou Ceesay
Badi Uzzaman
Bahar Soomekh
Bahare Seddiqi
Bahman Ghobadi
Bai Ling
Bailey Cave
Bajram Severdzan
Baki Davrak
Balinese Tari Legong Dancers
Balthazar Getty
Bam Margera
Banksy
Barbara Adams
Barbara Bach
Barbara Bates
Barbara Baxley
Barbara Bel Geddes
Barbara Boxer
Barbara Brancaccio
Barbara Carrera
Barbara Crampton
Barbara De Rossi
Barbara Dennek
Barbara E. Robertson
Barbara Eden
Barbara Feldon
Barbara Ferris
Barbara Flynn
Barbara Gordon
Barbara Harris
Barbara Hershey
Barbara Jefford
Barbara Kroner
Barbara Laage
Barbara Lawrence
Barbara Leigh-Hunt
Barbara Loden
Barbara Luddy
Barbara Marineau
Barbara Nedeljakova
Barbara Nichols
Barbara O'Neil
Barbara Parkins
Barbara Ruick
Barbara Rush
Barbara Shelley
Barbara Stanwyck
Barbara Steele
Barbara Sukowa
Barbara Werle
Barbora Lukesová
Barbra Streisand
Barkhad Abdi
Barkhad Abdirahman
Barnard Hughes
Barney Clark
Barret Hackney
Barret Oliver
Barrie Ingham
Barry Andrews
Barry Bostwick
Barry Del Sherman
Barry Dennen
Barry Fitzgerald
Barry Foster
Barry Humphries
Barry Miller
Barry Nelson
Barry Newman
Barry Otto
Barry Pepper
Barry Primus
Barry Truex
Barry Watson
Bart Burns
Bart the Bear
Bartholomew Rose
Bartlett Robinson
Barton MacLane
Basil Harris
Basil Rathbone
Basil Sydney
Basil Wallace
Bass Wolf
Batan Silva
Batiste Sornin
Bayar
Bea Guard
Beatrice Straight
Beau Bridges
Beau Daniels
Beau Starr
Bebe Daniels
Bebe Neuwirth
Becky Fischer
Bee Vang
Behzad Dorani
Bela Lugosi
Belinda Bauer
Belinda Jarrett
Bella Riza
Belladonna
Belén Rueda
Ben Affleck
Ben Bagdikian
Ben Barnes
Ben Baron
Ben Browder
Ben Burtt
Ben Chaplin
Ben Cooper
Ben Cotton
Ben Cross
Ben Daniels
Ben Duncan
Ben Falcone
Ben Feldman
Ben Foster
Ben Gazzara
Ben Hendricks Jr.
Ben Johnson
Ben Keith
Ben Kingsley
Ben Levin
Ben Masters
Ben McKenzie
Ben Mendelsohn
Ben Messmer
Ben Miller
Ben Niu
Ben Piazza
Ben Platt
Ben Reed
Ben Schnetzer
Ben Schwartz
Ben Shenkman
Ben Silverstone
Ben Steinbauer
Ben Stiller
Ben Tibber
Ben Walker
Ben Weber
Ben Whishaw
Bence Gerö
Benedict Cumberbatch
Benedikt Erlingsson
Bengt Braskered
Bengt C.W. Carlsson
Bengt Ekerot
Benicio Del Toro
Benjamin Bratt
Benjamin Emanuel
Benjamin Hendrickson
Benjamin Hollingsworth
Benjamin Salisbury
Benjamin Sheeler
Benjamin Walker
Benjamin Weir
Benjean
Benno Fürmann
Benny 'Papa Zita' Benjamin
Benny Hill
Benoît Ferreux
Benoît Magimel
Benoît Poelvoorde
Benoît Régent
Bentley Mitchum
Benz Antoine
Bernadette Coughlin
Bernadette Peters
Bernard Behrens
Bernard Blier
Bernard Cribbins
Bernard Hill
Bernard Lee
Bernard Miles
Bernard-Pierre Donnadieu
Bernhard Wicki
Bernice Hagler
Bernie Casey
Bernie Coulson
Bernie Mac
Bernie Worrell
Berry Kroeger
Bert Freed
Bert Lahr
Bert Remsen
Bert Williams
Berta Gersten
Bertil Norström
Beryl Reid
Bess Armstrong
Bessie Love
Beth Grant
Beth Toussaint
Betsy Baker
Betsy Palmer
Betsy Rue
Betsy Russell
Bette Davis
Bette Midler
Betty Aberlin
Betty Bronson
Betty Buckley
Betty Field
Betty Garrett
Betty Grable
Betty Hutton
Betty Kennedy
Betty Lou Gerson
Betty Lynn
Betty Schneider
Betty Schuurman
Betty Staley
Beulah Bondi
Beulah Garrick
Beverly Bonner
Beverly D'Angelo
Beverly Dollarhide
Beverly Garland
Beverly Todd
Beyoncé Knowles
Bhavana Nagulapally
Biao Yuen
Bibb Frazier
Bibi Andersson
Bibi Naceri
Biff McGuire
Bijou Phillips
Bill Bailey
Bill Baird
Bill Bambridge
Bill Barretta
Bill Basch
Bill Baucom
Bill Bellamy
Bill Bernstein
Bill Birch
Bill Bixby
Bill Bradley
Bill Buell
Bill Chepil
Bill Clinton
Bill Cobbs
Bill Cosby
Bill Coyne
Bill Cunningham
Bill Duke
Bill Ellis
Bill Engvall
Bill Fagerbakke
Bill Farmer
Bill Hader
Bill Heidbreder
Bill Hicks
Bill Hunter
Bill Irwin
Bill Kerr
Bill Maher
Bill McKinney
Bill Melendez
Bill Milner
Bill Moseley
Bill Murray
Bill Nighy
Bill Noble
Bill Nunn
Bill Paterson
Bill Paxton
Bill Pullman
Bill Sage
Bill Sammeth
Bill Shirley
Bill Strother
Bill Thompson
Bill Thornbury
Bill Travers
Bill Tung
Billie Allen
Billie Burke
Billie Dove
Billie Mae Richards
Billie Whitelaw
Billy Barty
Billy Bletcher
Billy Bob Thornton
Billy Brown
Billy Burke
Billy Campbell
Billy Chow
Billy Connolly
Billy Crudup
Billy Crystal
Billy Dee Williams
Billy Green Bush
Billy House
Billy Jayne
Billy Joel
Billy Kay
Billy Kearns
Billy Mitchell
Billy West
Billy Zane
Bimbo Hart
Bin Li
Bin Won
Bin Wu
Bindu De Stoppani
Bing Crosby
Birgit Doll
Birgit Minichmayr
Birgitta Pettersson
Birgitta Valberg
Birgitte Federspiel
Birgitte Larsen
Birol Ünel
Björk
Björn Granath
Björn Starrin
Black Flag
Blair Brown
Blair Underwood
Blake Anderson
Blake Cooper
Blake Harrison
Blake Heron
Blake Lively
Blanca Guerra
Blanca Portillo
Blanchard Ryan
Blandine Lenoir
Blasphemer
Blayne Weaver
Blaze Berdahl
Blythe Danner
Bo Derek
Bo Hopkins
Bo Svenson
Bob Adcock
Bob Babbitt
Bob Balaban
Bob Dorian
Bob Dylan
Bob Elliott
Bob Geldof
Bob Griffin
Bob Gunton
Bob Holt
Bob Hope
Bob Hoskins
Bob Janoff
Bob Marley
Bob Neuwirth
Bob Newhart
Bob Odenkirk
Bob Papenbrook
Bob Peterson
Bob Proctor
Bob Robideau
Bob Stephenson
Bob Tracey
Bobb'e J. Thompson
Bobbi Page
Bobby Block
Bobby Boriello
Bobby Campo
Bobby Cannavale
Bobby Coleman
Bobby Di Cicco
Bobby Driscoll
Bobby Fite
Bobby Henrey
Bobby Moore
Bobcat Goldthwait
Bobette Audrey
Bodan Litnanski
Bodil Jørgensen
Bodil Kjer
Bodil Rosing
Bohumil Svarc
Bojana Novakovic
Bojesse Christopher
Bokeem Woodbine
Bolek Polívka
Bongkoj Khongmalai
Bonnie Bedelia
Bonnie Hunt
Bono
Bonz Malone
Boris Karloff
Boris Kodjoe
Bourvil
Boyd Gaines
Brad Beyer
Brad Davis
Brad Dexter
Brad Dourif
Brad Garrett
Brad Gorton
Brad Greenquist
Brad Hunt
Brad Johnson
Brad Morris
Brad Pitt
Brad Renfro
Brad Rowe
Bradford Dillman
Bradley Cooper
Bradley Gregg
Bradley Pierce
Bradley Whitford
Brady Coleman
Brady Corbet
Brahim Hadjadj
Brandon De Wilde
Brandon Hardesty
Brandon Lee
Brandon McGibbon
Brandon Merrill
Brandon Ratcliff
Brandon Routh
Brandon T. Jackson
Brandt Wille
Brandy Gold
Brandy Norwood
Branka Katic
Branko Djuric
Brawley Nolte
Brea Frazier
Breckin Meyer
Bree Turner
Brenda Ballard
Brenda Blethyn
Brenda Fricker
Brenda Vaccaro
Brenda de Banzie
Brendan Fehr
Brendan Fletcher
Brendan Fraser
Brendan Gleeson
Brendan Mackey
Brendan Sexton III
Brenden Jefferson
Breno Mello
Brent Baskin
Brent Briscoe
Brent Spiner
Brent Wendell Williams
Brenton Thwaites
Bret 'Brook' Parker
Bret Harrison
Bret McKenzie
Brett Barsky
Brett Cullen
Brett Harrelson
Brett Kelly
Brian Auger
Brian Backer
Brian Beattie
Brian Bedford
Brian Bell
Brian Benben
Brian Blessed
Brian Boland
Brian Cox
Brian Deacon
Brian Dennehy
Brian Donlevy
Brian Dooley
Brian Downey
Brian Fisk
Brian Geraghty
Brian Howe
Brian Keith
Brian Keith Allen
Brian Kerwin
Brian Krause
Brian Letscher
Brian Matthews
Brian Milligan
Brian O'Halloran
Brian O'Shaughnessy
Brian Posehn
Brian Sergent
Brian Tyler
Brian Unger
Brian Van Holt
Brian Webber
Brian White
Brid Brennan
Bridget Fonda
Bridget Moynahan
Bridgette Wilson-Sampras
Bridgit Mendler
Brie Larson
Brien McMahon
Brigid Erin Bates
Brigid Tierney
Brigitte Bardot
Brigitte Fossey
Brigitte Lin
Brigitte Mira
Brigitte Nielsen
Brina Palencia
Brion James
Brit Marling
Britney Spears
Britt Ekland
Britt Robertson
Brittany Colonna
Brittany Daniel
Brittany Murphy
Brittany Snow
Brock Peters
Broderick Crawford
Bronson Dudley
Brontis Jodorowsky
Brook Williams
Brooke Adams
Brooke Bloom
Brooke Bundy
Brooke Langton
Brooke Shields
Brooke Smith
Brooklyn Decker
Brooklynn Proulx
Brooks Benedict
Brooks Hyers
Bruce Abbott
Bruce Allpress
Bruce Altman
Bruce Balden
Bruce Baum
Bruce Bennett
Bruce Boxleitner
Bruce Brown
Bruce Buchanan
Bruce Byron
Bruce Cabot
Bruce Campbell
Bruce Carlisle
Bruce D. Reed
Bruce Davison
Bruce Dern
Bruce Dobler
Bruce Greenwood
Bruce Lee
Bruce Lyons
Bruce Malmuth
Bruce McCulloch
Bruce McDonald
Bruce McFee
Bruce McGill
Bruce Payne
Bruce Perens
Bruce Ramsay
Bruce Reitherman
Bruce Spence
Bruce Willis
Bruce Yarnell
Brunella Bovo
Bruno Campos
Bruno Cremer
Bruno Ganz
Bruno Kirby
Bruno Lawrence
Bruno S.
Bryan Anthony
Bryan Barter
Bryan Batt
Bryan Brown
Bryan Callen
Bryan Cranston
Bryan Gibson
Bryan Greenberg
Bryan White
Bryant Davis
Bryce Dallas Howard
Bryce Johnson
Bryce Lindemann
Bryna Weiss
Brían F. O'Byrne
Bubba Smith
Buck Brannaman
Buck Henry
Buck Smith
Buck Taylor
Bud Abbott
Bud Cort
Bud Luckey
Buddhi Wickrama
Buddy Ebsen
Buddy Hackett
Bug Hall
Bulle Ogier
Bunshi Katsura Vi
Burgess Meredith
Burghart Klaußner
Burl Ives
Burt Kwouk
